Nombre,Tipo,Correo,Teléfono,Dirección,Ciudad,País
Electrónica Madrid S.L.,Cliente,contacto@electronicamadrid.com,+34 912345678,Calle Alcalá 105,Madrid,España
TechNova Components,Proveedor,info@technova.es,+34 938765432,Carrer de la Indústria 88,Barcelona,España
ServiCable Iberia,Cliente,soporte@servicable.es,+34 956789012,Av. Andalucía 210,Sevilla,España
PowerLink Systems,Proveedor,ventas@powerlink.es,+34 944556677,C/ Euskadi 14,Bilbao,España
ElectroParts Valencia,Cliente,contacto@electropartsvalencia.es,+34 963554433,Calle Colón 90,Valencia,España
Cables y Conectores Norte,Proveedor,info@cycnorte.es,+34 948221100,Paseo Sarasate 3,Pamplona,España
InduTech Zaragoza,Cliente,atencion@indutechzgz.es,+34 976440022,Avenida Goya 72,Zaragoza,España
MicroVolt Canarias,Proveedor,ventas@microvoltcanarias.es,+34 922123456,Avenida de los Menceyes 45,La Laguna,España
ElectroSur Málaga,Cliente,info@electrosurmalaga.es,+34 952444555,Av. de Andalucía 35,Málaga,España
TecnoCable Galicia,Proveedor,contacto@tecnocablegalicia.es,+34 981112233,Rúa do Franco 27,Santiago de Compostela,España
